municipality,census_csduid,census_cduid,census_desc,fuel_type,registered_vehicles_2016,registered_vehicles_2017,registered_vehicles_2018,registered_vehicles_2019,registered_vehicles_2020
Lakeshore,3537064,,Town,Compressed Natural Gas,3,3,4,4,3
Lakeshore,3537064,,Town,Diesel,1565,1529,1651,1614,1646
Lakeshore,3537064,,Town,Electric,8,11,16,23,34
Lakeshore,3537064,,Town,Gas,21803,22621,23340,23882,24338
Lakeshore,3537064,,Town,Plugin Hybrid,8,20,40,40,44
Lakeshore,3537064,,Town,Propane,3,2,1,0,1
Lambton,,3538,Census Division,Compressed Natural Gas,5,4,4,4,3
Lambton,,3538,Census Division,Diesel,5378,5186,5154,5330,5418
Lambton,,3538,Census Division,Electric,17,21,49,63,96
Lambton,,3538,Census Division,Gas,94885,96513,98101,99458,100720
Lambton,,3538,Census Division,Plugin Hybrid,13,29,51,57,56
Lambton,,3538,Census Division,Propane,18,12,11,13,15
Lambton Shores,3538040,,Municipality,Compressed Natural Gas,1,1,0,0,0
Lambton Shores,3538040,,Municipality,Diesel,775,757,762,794,809
Lambton Shores,3538040,,Municipality,Electric,2,2,10,11,15
Lambton Shores,3538040,,Municipality,Gas,10599,10993,11071,11362,11662
Lambton Shores,3538040,,Municipality,Plugin Hybrid,0,0,4,4,3
Lambton Shores,3538040,,Municipality,Propane,3,1,1,1,1
Lanark,,3509,Census Division,Compressed Natural Gas,3,3,3,3,4
Lanark,,3509,Census Division,Diesel,2677,2599,2597,2779,2859
Lanark,,3509,Census Division,Electric,4,14,40,58,98
Lanark,,3509,Census Division,Gas,53780,55294,56651,58263,59854
Lanark,,3509,Census Division,Plugin Hybrid,23,34,60,78,81
Lanark,,3509,Census Division,Propane,9,6,3,4,5
Lanark Highlands,3509039,,Township,Compressed Natural Gas,0,0,0,0,0
Lanark Highlands,3509039,,Township,Diesel,273,281,278,290,302
Lanark Highlands,3509039,,Township,Electric,0,0,1,1,3
Lanark Highlands,3509039,,Township,Gas,3923,4030,4102,4142,4242
Lanark Highlands,3509039,,Township,Plugin Hybrid,0,1,3,6,7
Lanark Highlands,3509039,,Township,Propane,1,1,1,1,1
Larder Lake,3554062,,Township,Compressed Natural Gas,0,0,0,0,0
Larder Lake,3554062,,Township,Diesel,56,51,47,43,45
Larder Lake,3554062,,Township,Electric,0,0,0,0,0
Larder Lake,3554062,,Township,Gas,623,615,631,645,657
Larder Lake,3554062,,Township,Plugin Hybrid,0,0,0,0,0
Larder Lake,3554062,,Township,Propane,0,0,0,0,0
LaSalle,3537034,,Town,Compressed Natural Gas,1,1,2,1,1
LaSalle,3537034,,Town,Diesel,456,450,544,590,603
LaSalle,3537034,,Town,Electric,1,3,13,21,33
LaSalle,3537034,,Town,Gas,16176,16348,17574,18829,19603
LaSalle,3537034,,Town,Plugin Hybrid,11,20,24,34,33
LaSalle,3537034,,Town,Propane,1,1,1,2,3
Latchford,3554006,,Town,Compressed Natural Gas,0,0,0,0,0
Latchford,3554006,,Town,Diesel,13,15,18,23,22
Latchford,3554006,,Town,Electric,0,0,0,0,0
Latchford,3554006,,Town,Gas,296,323,318,318,316
Latchford,3554006,,Town,Plugin Hybrid,0,0,0,1,1
Latchford,3554006,,Town,Propane,0,0,0,0,0
Laurentian Hills,3547090,,Town,Compressed Natural Gas,0,0,0,0,1
Laurentian Hills,3547090,,Town,Diesel,55,58,63,67,71
Laurentian Hills,3547090,,Town,Electric,0,0,0,0,1
Laurentian Hills,3547090,,Town,Gas,1517,1503,1499,1498,1540
Laurentian Hills,3547090,,Town,Plugin Hybrid,0,0,0,0,0
Laurentian Hills,3547090,,Town,Propane,0,0,0,0,0
Laurentian Valley,3547075,,Township,Compressed Natural Gas,0,0,0,0,0
Laurentian Valley,3547075,,Township,Diesel,0,0,1,2,2
Laurentian Valley,3547075,,Township,Electric,0,0,0,0,0
Laurentian Valley,3547075,,Township,Gas,3,9,10,6,4
Laurentian Valley,3547075,,Township,Plugin Hybrid,0,0,0,0,0
Laurentian Valley,3547075,,Township,Propane,0,0,0,0,0
Leamington,3537003,,Municipality,Compressed Natural Gas,0,0,1,2,2
Leamington,3537003,,Municipality,Diesel,1184,1160,1203,1227,1264
Leamington,3537003,,Municipality,Electric,0,1,5,9,15
Leamington,3537003,,Municipality,Gas,16874,17385,17799,18292,18719
Leamington,3537003,,Municipality,Plugin Hybrid,4,6,12,12,12
Leamington,3537003,,Municipality,Propane,3,2,1,1,0
Leeds and Grenville,,3507,Census Division,Compressed Natural Gas,6,5,6,4,9
Leeds and Grenville,,3507,Census Division,Diesel,4487,4388,4351,4399,4544
Leeds and Grenville,,3507,Census Division,Electric,18,35,74,103,135
Leeds and Grenville,,3507,Census Division,Gas,75263,76887,77756,79557,81483
Leeds and Grenville,,3507,Census Division,Plugin Hybrid,24,52,77,88,92
Leeds and Grenville,,3507,Census Division,Propane,4,5,5,4,4
Leeds and the Thousand Islands,3507021,,Township,Compressed Natural Gas,0,0,0,0,0
Leeds and the Thousand Islands,3507021,,Township,Diesel,192,185,194,199,202
Leeds and the Thousand Islands,3507021,,Township,Electric,0,2,8,8,7
Leeds and the Thousand Islands,3507021,,Township,Gas,3019,3164,3179,3231,3315
Leeds and the Thousand Islands,3507021,,Township,Plugin Hybrid,1,2,4,5,5
Leeds and the Thousand Islands,3507021,,Township,Propane,0,0,0,0,0
Lennox and Addington,,3511,Census Division,Compressed Natural Gas,1,2,3,2,3
Lennox and Addington,,3511,Census Division,Diesel,1769,1738,1757,1825,1916
Lennox and Addington,,3511,Census Division,Electric,7,18,36,51,66
Lennox and Addington,,3511,Census Division,Gas,33553,34488,35066,35823,36676
Lennox and Addington,,3511,Census Division,Plugin Hybrid,5,11,26,31,31
Lennox and Addington,,3511,Census Division,Propane,2,3,6,4,4
Limerick,3512051,,Township,Compressed Natural Gas,0,0,0,0,0
Limerick,3512051,,Township,Diesel,147,154,171,177,183
Limerick,3512051,,Township,Electric,0,0,0,4,5
Limerick,3512051,,Township,Gas,3017,3138,3280,3350,3407
Limerick,3512051,,Township,Plugin Hybrid,1,2,2,2,2
Limerick,3512051,,Township,Propane,1,1,1,1,1
Lincoln,3526057,,Town,Compressed Natural Gas,1,2,2,2,3
Lincoln,3526057,,Town,Diesel,1281,1283,1294,1351,1414
Lincoln,3526057,,Town,Electric,9,12,28,45,59
Lincoln,3526057,,Town,Gas,17876,18345,18559,19008,19701
Lincoln,3526057,,Town,Plugin Hybrid,16,28,49,58,59
Lincoln,3526057,,Town,Propane,2,2,1,1,2
London,3539036,,City,Compressed Natural Gas,11,9,20,25,33
London,3539036,,City,Diesel,8582,8267,8282,8368,8436
London,3539036,,City,Electric,80,128,266,362,516
London,3539036,,City,Gas,228790,236560,243228,248733,254275
London,3539036,,City,Plugin Hybrid,123,176,312,345,385
London,3539036,,City,Propane,12,11,11,12,14
Loyalist,3511005,,Township,Compressed Natural Gas,1,1,1,0,0
Loyalist,3511005,,Township,Diesel,406,380,368,386,409
Loyalist,3511005,,Township,Electric,3,8,17,28,36
Loyalist,3511005,,Township,Gas,12404,12839,13080,13318,13590
Loyalist,3511005,,Township,Plugin Hybrid,2,5,13,16,17
Loyalist,3511005,,Township,Propane,1,1,2,1,1
Lucan Biddulph,3539060,,Township,Compressed Natural Gas,0,0,0,0,0
Lucan Biddulph,3539060,,Township,Diesel,410,391,411,416,422
Lucan Biddulph,3539060,,Township,Electric,0,0,0,1,3
Lucan Biddulph,3539060,,Township,Gas,4083,4250,4372,4592,4729
Lucan Biddulph,3539060,,Township,Plugin Hybrid,1,2,3,2,2
Lucan Biddulph,3539060,,Township,Propane,0,0,0,0,0
"Macdonald, Meredith and Aberdeen Additional",3557051,,Township,Compressed Natural Gas,0,0,0,0,0
"Macdonald, Meredith and Aberdeen Additional",3557051,,Township,Diesel,1,1,0,1,2
"Macdonald, Meredith and Aberdeen Additional",3557051,,Township,Electric,0,0,0,0,0
"Macdonald, Meredith and Aberdeen Additional",3557051,,Township,Gas,1,1,3,4,4
"Macdonald, Meredith and Aberdeen Additional",3557051,,Township,Plugin Hybrid,0,0,0,0,0
"Macdonald, Meredith and Aberdeen Additional",3557051,,Township,Propane,0,0,0,0,0
Machar,3549054,,Township,Compressed Natural Gas,0,0,0,0,0
Machar,3549054,,Township,Diesel,0,0,0,0,0
Machar,3549054,,Township,Electric,0,0,0,0,0
Machar,3549054,,Township,Gas,1,1,1,1,1
Machar,3549054,,Township,Plugin Hybrid,0,0,0,0,0
Machar,3549054,,Township,Propane,0,0,0,0,0
Machin,3560021,,Municipality,Compressed Natural Gas,0,0,0,0,0
Machin,3560021,,Municipality,Diesel,13,16,13,14,12
Machin,3560021,,Municipality,Electric,0,0,0,0,0
Machin,3560021,,Municipality,Gas,101,96,94,103,102
Machin,3560021,,Municipality,Plugin Hybrid,0,0,0,0,0
Machin,3560021,,Municipality,Propane,0,0,0,0,0
Madawaska Valley,3547030,,Township,Compressed Natural Gas,0,0,0,0,0
Madawaska Valley,3547030,,Township,Diesel,221,229,218,217,238
Madawaska Valley,3547030,,Township,Electric,0,0,1,1,1
Madawaska Valley,3547030,,Township,Gas,4241,4312,4359,4395,4466
Madawaska Valley,3547030,,Township,Plugin Hybrid,0,0,0,0,0
Madawaska Valley,3547030,,Township,Propane,0,0,0,0,0
Madoc,3512036,,Township,Compressed Natural Gas,0,0,0,0,0
Madoc,3512036,,Township,Diesel,294,303,302,294,298
Madoc,3512036,,Township,Electric,0,0,1,2,0
Madoc,3512036,,Township,Gas,4221,4340,4388,4465,4555
Madoc,3512036,,Township,Plugin Hybrid,0,0,2,4,4
Madoc,3512036,,Township,Propane,1,2,0,0,0
Magnetawan,3549043,,Municipality,Compressed Natural Gas,1,1,1,1,1
Magnetawan,3549043,,Municipality,Diesel,109,105,101,94,102
Magnetawan,3549043,,Municipality,Electric,0,0,1,2,3
Magnetawan,3549043,,Municipality,Gas,1000,1037,1051,1014,1080
Magnetawan,3549043,,Municipality,Plugin Hybrid,0,0,0,0,0
Magnetawan,3549043,,Municipality,Propane,0,0,0,0,0
Malahide,3534010,,Township,Compressed Natural Gas,0,0,0,0,0
Malahide,3534010,,Township,Diesel,215,211,224,240,256
Malahide,3534010,,Township,Electric,0,1,2,4,4
Malahide,3534010,,Township,Gas,1611,1664,1693,1710,1736
Malahide,3534010,,Township,Plugin Hybrid,0,0,3,4,2
Malahide,3534010,,Township,Propane,0,0,0,0,2
Manitouwadge,3558066,,Township,Compressed Natural Gas,0,0,0,0,0
Manitouwadge,3558066,,Township,Diesel,140,143,138,121,133
Manitouwadge,3558066,,Township,Electric,0,0,0,0,1
Manitouwadge,3558066,,Township,Gas,1566,1562,1570,1577,1587
Manitouwadge,3558066,,Township,Plugin Hybrid,1,1,2,2,1
Manitouwadge,3558066,,Township,Propane,0,0,0,0,0
Mapleton,3523033,,Township,Compressed Natural Gas,1,1,1,1,2
Mapleton,3523033,,Township,Diesel,952,968,1007,1061,1103
Mapleton,3523033,,Township,Electric,2,3,9,11,9
Mapleton,3523033,,Township,Gas,6570,6634,6690,6876,6986
Mapleton,3523033,,Township,Plugin Hybrid,0,2,6,7,7
Mapleton,3523033,,Township,Propane,0,0,0,0,0
Marathon,3558059,,Town,Compressed Natural Gas,0,0,0,0,0
Marathon,3558059,,Town,Diesel,175,171,162,159,166
Marathon,3558059,,Town,Electric,0,1,1,1,0
Marathon,3558059,,Town,Gas,2430,2473,2467,2453,2499
Marathon,3558059,,Town,Plugin Hybrid,0,0,0,0,0
Marathon,3558059,,Town,Propane,0,0,0,0,0
Markham,3519036,,City,Compressed Natural Gas,7,5,5,5,2
Markham,3519036,,City,Diesel,9168,8832,8516,8453,8391
Markham,3519036,,City,Electric,310,475,946,1221,1532
Markham,3519036,,City,Gas,196593,199950,202668,205791,204372
Markham,3519036,,City,Plugin Hybrid,154,224,474,523,575
Markham,3519036,,City,Propane,6,3,5,5,5
Markstay-Warren,3552013,,Municipality,Compressed Natural Gas,0,0,0,0,0
Markstay-Warren,3552013,,Municipality,Diesel,171,171,174,179,183
Markstay-Warren,3552013,,Municipality,Electric,0,0,1,1,1
Markstay-Warren,3552013,,Municipality,Gas,2004,2051,2046,2040,2078
Markstay-Warren,3552013,,Municipality,Plugin Hybrid,0,0,1,1,1
Markstay-Warren,3552013,,Municipality,Propane,0,0,0,0,0
Marmora and Lake,3512046,,Municipality,Compressed Natural Gas,0,0,0,0,0
Marmora and Lake,3512046,,Municipality,Diesel,179,193,197,210,212
Marmora and Lake,3512046,,Municipality,Electric,0,0,0,3,4
Marmora and Lake,3512046,,Municipality,Gas,3891,4018,4110,4196,4390
Marmora and Lake,3512046,,Municipality,Plugin Hybrid,0,0,0,0,0
Marmora and Lake,3512046,,Municipality,Propane,1,1,1,0,0
Matachewan,3554056,,Township,Compressed Natural Gas,0,0,0,0,0
Matachewan,3554056,,Township,Diesel,22,22,28,32,34
Matachewan,3554056,,Township,Electric,0,0,0,0,0
Matachewan,3554056,,Township,Gas,340,349,340,334,343
Matachewan,3554056,,Township,Plugin Hybrid,0,0,0,0,0
Matachewan,3554056,,Township,Propane,0,0,0,0,0
Mattawa,3548021,,Town,Compressed Natural Gas,0,0,0,0,0
Mattawa,3548021,,Town,Diesel,191,196,198,215,236
Mattawa,3548021,,Town,Electric,0,0,0,0,1
Mattawa,3548021,,Town,Gas,2871,2865,2849,2890,2963
Mattawa,3548021,,Town,Plugin Hybrid,0,0,0,0,0
Mattawa,3548021,,Town,Propane,0,0,0,0,0
Mattice-Val Côté,3556077,,Township,Compressed Natural Gas,0,0,0,0,0
Mattice-Val Côté,3556077,,Township,Diesel,44,37,36,34,35
Mattice-Val Côté,3556077,,Township,Electric,0,0,0,0,0
Mattice-Val Côté,3556077,,Township,Gas,562,572,564,563,572
Mattice-Val Côté,3556077,,Township,Plugin Hybrid,0,0,0,0,0
Mattice-Val Côté,3556077,,Township,Propane,0,0,0,1,0
McDougall,3549031,,Municipality,Compressed Natural Gas,0,0,0,0,0
McDougall,3549031,,Municipality,Diesel,258,265,275,280,281
McDougall,3549031,,Municipality,Electric,2,2,5,6,7
McDougall,3549031,,Municipality,Gas,3779,3874,3917,3924,3985
McDougall,3549031,,Municipality,Plugin Hybrid,1,1,1,3,3
McDougall,3549031,,Municipality,Propane,0,0,0,0,0
McGarry,3554058,,Township,Compressed Natural Gas,0,0,0,0,0
McGarry,3554058,,Township,Diesel,22,24,27,26,33
McGarry,3554058,,Township,Electric,0,0,0,0,0
McGarry,3554058,,Township,Gas,479,472,471,462,492
McGarry,3554058,,Township,Plugin Hybrid,0,0,0,0,0
McGarry,3554058,,Township,Propane,0,0,0,0,0
McKellar,3549028,,Township,Compressed Natural Gas,0,0,0,0,0
McKellar,3549028,,Township,Diesel,70,61,65,68,78
McKellar,3549028,,Township,Electric,0,0,0,3,2
McKellar,3549028,,Township,Gas,1206,1250,1242,1243,1276
McKellar,3549028,,Township,Plugin Hybrid,0,0,1,1,1
McKellar,3549028,,Township,Propane,0,0,0,0,0
McMurrich/Monteith,3549012,,Township,Compressed Natural Gas,0,0,0,0,0
McMurrich/Monteith,3549012,,Township,Diesel,74,87,90,97,92
McMurrich/Monteith,3549012,,Township,Electric,0,0,0,0,0
McMurrich/Monteith,3549012,,Township,Gas,897,908,918,920,930
McMurrich/Monteith,3549012,,Township,Plugin Hybrid,0,0,1,0,0
McMurrich/Monteith,3549012,,Township,Propane,0,0,0,0,0
McNab/Braeside,3547003,,Township,Compressed Natural Gas,0,0,0,0,0
McNab/Braeside,3547003,,Township,Diesel,98,91,85,97,105
McNab/Braeside,3547003,,Township,Electric,0,0,2,2,3
McNab/Braeside,3547003,,Township,Gas,2366,2428,2470,2487,2567
McNab/Braeside,3547003,,Township,Plugin Hybrid,0,1,3,3,4
McNab/Braeside,3547003,,Township,Propane,0,0,0,0,0
Meaford,3542047,,Municipality,Compressed Natural Gas,0,0,0,0,0
Meaford,3542047,,Municipality,Diesel,524,491,510,525,512
Meaford,3542047,,Municipality,Electric,3,6,7,8,15
Meaford,3542047,,Municipality,Gas,7865,8104,8199,8217,8317
Meaford,3542047,,Municipality,Plugin Hybrid,2,2,7,10,8
Meaford,3542047,,Municipality,Propane,0,0,0,0,0
Melancthon,3522019,,Township,Compressed Natural Gas,2,2,1,1,1
Melancthon,3522019,,Township,Diesel,296,326,338,366,362
Melancthon,3522019,,Township,Electric,1,1,1,1,2
Melancthon,3522019,,Township,Gas,2339,2424,2498,2545,2624
Melancthon,3522019,,Township,Plugin Hybrid,0,0,1,2,2
Melancthon,3522019,,Township,Propane,1,0,0,0,0
Merrickville-Wolford,3507052,,Village,Compressed Natural Gas,0,0,0,0,0
Merrickville-Wolford,3507052,,Village,Diesel,287,283,275,280,275
Merrickville-Wolford,3507052,,Village,Electric,3,4,7,8,9
Merrickville-Wolford,3507052,,Village,Gas,4132,4279,4309,4391,4539
Merrickville-Wolford,3507052,,Village,Plugin Hybrid,1,3,4,5,8
Merrickville-Wolford,3507052,,Village,Propane,0,0,0,0,0
Middlesex,,3539,Census Division,Compressed Natural Gas,18,15,26,29,36
Middlesex,,3539,Census Division,Diesel,13871,13593,13876,14078,14164
Middlesex,,3539,Census Division,Electric,93,146,323,450,626
Middlesex,,3539,Census Division,Gas,283815,293319,301171,308220,315564
Middlesex,,3539,Census Division,Plugin Hybrid,143,206,368,409,455
Middlesex,,3539,Census Division,Propane,28,27,26,21,21
Middlesex Centre,3539033,,Municipality,Compressed Natural Gas,2,2,2,2,1
Middlesex Centre,3539033,,Municipality,Diesel,1131,1184,1192,1214,1195
Middlesex Centre,3539033,,Municipality,Electric,6,11,27,36,47
Middlesex Centre,3539033,,Municipality,Gas,12867,13267,13519,13871,14373
Middlesex Centre,3539033,,Municipality,Plugin Hybrid,6,9,23,28,31
Middlesex Centre,3539033,,Municipality,Propane,3,4,4,2,1
Midland,3543074,,Town,Compressed Natural Gas,1,1,0,0,0
Midland,3543074,,Town,Diesel,404,384,398,424,428
Midland,3543074,,Town,Electric,2,2,4,10,20
Midland,3543074,,Town,Gas,12124,12749,12937,13217,13459
Midland,3543074,,Town,Plugin Hybrid,5,7,10,11,12
Midland,3543074,,Town,Propane,2,2,1,0,0
Milton,3524009,,Town,Compressed Natural Gas,2,1,0,0,0
Milton,3524009,,Town,Diesel,4309,4373,4491,4861,4971
Milton,3524009,,Town,Electric,45,88,231,339,478
Milton,3524009,,Town,Gas,71151,73830,77032,80403,81819
Milton,3524009,,Town,Plugin Hybrid,31,72,134,161,156
Milton,3524009,,Town,Propane,3,4,4,4,5
Minden Hills,3546015,,Township,Compressed Natural Gas,1,1,1,1,1
Minden Hills,3546015,,Township,Diesel,386,414,439,434,424
Minden Hills,3546015,,Township,Electric,0,0,1,2,7
Minden Hills,3546015,,Township,Gas,5794,6033,6015,5964,6060
Minden Hills,3546015,,Township,Plugin Hybrid,0,2,2,3,3
Minden Hills,3546015,,Township,Propane,1,1,2,1,1
Minto,3523043,,Town,Compressed Natural Gas,0,0,0,0,0
Minto,3523043,,Town,Diesel,753,790,775,817,857
Minto,3523043,,Town,Electric,1,2,3,5,4
Minto,3523043,,Town,Gas,6941,7157,7317,7537,7684
Minto,3523043,,Town,Plugin Hybrid,1,2,3,4,3
Minto,3523043,,Town,Propane,2,1,2,1,1
Mississauga,3521005,,City,Compressed Natural Gas,22,18,24,29,30
Mississauga,3521005,,City,Diesel,30797,30579,31612,32278,32057
Mississauga,3521005,,City,Electric,343,574,1169,1605,2036
Mississauga,3521005,,City,Gas,427756,435254,441368,445569,440736
Mississauga,3521005,,City,Plugin Hybrid,214,368,688,806,943
Mississauga,3521005,,City,Propane,33,30,25,22,17
Mississippi Mills,3509030,,Town,Compressed Natural Gas,1,1,1,1,2
Mississippi Mills,3509030,,Town,Diesel,526,476,511,572,593
Mississippi Mills,3509030,,Town,Electric,1,3,11,16,22
Mississippi Mills,3509030,,Town,Gas,10238,10650,11024,11431,11754
Mississippi Mills,3509030,,Town,Plugin Hybrid,6,8,15,17,13
Mississippi Mills,3509030,,Town,Propane,2,1,0,0,0
Mono,3522012,,Town,Compressed Natural Gas,0,0,0,0,0
Mono,3522012,,Town,Diesel,650,618,646,633,654
Mono,3522012,,Town,Electric,5,13,25,31,47
Mono,3522012,,Town,Gas,6643,7076,7326,7433,7559
Mono,3522012,,Town,Plugin Hybrid,6,11,19,23,21
Mono,3522012,,Town,Propane,1,0,0,0,0
Montague,3509001,,Township,Compressed Natural Gas,0,0,0,0,0
Montague,3509001,,Township,Diesel,2,1,1,1,1
Montague,3509001,,Township,Electric,0,0,0,0,0
Montague,3509001,,Township,Gas,29,30,36,30,30
Montague,3509001,,Township,Plugin Hybrid,0,1,0,1,0
Montague,3509001,,Township,Propane,0,0,0,0,0
Moonbeam,3556056,,Township,Compressed Natural Gas,0,0,0,0,0
Moonbeam,3556056,,Township,Diesel,151,143,144,157,171
Moonbeam,3556056,,Township,Electric,0,0,0,0,0
Moonbeam,3556056,,Township,Gas,1033,1001,959,963,1003
Moonbeam,3556056,,Township,Plugin Hybrid,1,1,3,3,3
Moonbeam,3556056,,Township,Propane,0,1,1,1,1
Moosonee,3556106,,Town / Ville,Compressed Natural Gas,0,0,0,0,0
Moosonee,3556106,,Town / Ville,Diesel,47,48,49,38,36
Moosonee,3556106,,Town / Ville,Electric,0,0,0,0,0
Moosonee,3556106,,Town / Ville,Gas,570,568,572,579,587
Moosonee,3556106,,Town / Ville,Plugin Hybrid,0,0,0,0,0
Moosonee,3556106,,Town / Ville,Propane,0,0,0,0,0
Morris-Turnberry,3540050,,Municipality,Compressed Natural Gas,0,0,0,0,0
Morris-Turnberry,3540050,,Municipality,Diesel,149,155,165,159,157
Morris-Turnberry,3540050,,Municipality,Electric,0,0,0,0,0
Morris-Turnberry,3540050,,Municipality,Gas,1291,1325,1326,1291,1298
Morris-Turnberry,3540050,,Municipality,Plugin Hybrid,1,1,1,1,1
Morris-Turnberry,3540050,,Municipality,Propane,0,0,0,0,0
Mulmur,3522016,,Township,Compressed Natural Gas,0,0,0,0,0
Mulmur,3522016,,Township,Diesel,352,348,338,326,316
Mulmur,3522016,,Township,Electric,1,1,2,5,6
Mulmur,3522016,,Township,Gas,3222,3391,3414,3470,3464
Mulmur,3522016,,Township,Plugin Hybrid,2,2,6,6,6
Mulmur,3522016,,Township,Propane,1,1,1,0,0
Muskoka,,3544,Census Division,Compressed Natural Gas,2,2,3,3,3
Muskoka,,3544,Census Division,Diesel,3437,3509,3640,3662,3740
Muskoka,,3544,Census Division,Electric,14,24,42,58,98
Muskoka,,3544,Census Division,Gas,49768,50995,51324,51364,52555
Muskoka,,3544,Census Division,Plugin Hybrid,12,29,48,53,58
Muskoka,,3544,Census Division,Propane,59,57,58,57,58
Muskoka Lakes,3544053,,Township,Compressed Natural Gas,0,0,0,0,0
Muskoka Lakes,3544053,,Township,Diesel,400,405,416,426,444
Muskoka Lakes,3544053,,Township,Electric,4,5,8,8,20
Muskoka Lakes,3544053,,Township,Gas,4050,4162,4185,4147,4230
Muskoka Lakes,3544053,,Township,Plugin Hybrid,1,2,7,9,12
Muskoka Lakes,3544053,,Township,Propane,0,0,1,1,1
Nairn and Hyman,3552031,,Township,Compressed Natural Gas,0,0,0,0,0
Nairn and Hyman,3552031,,Township,Diesel,124,117,122,146,144
Nairn and Hyman,3552031,,Township,Electric,0,0,0,0,0
Nairn and Hyman,3552031,,Township,Gas,384,381,379,385,391
Nairn and Hyman,3552031,,Township,Plugin Hybrid,0,0,0,1,1
Nairn and Hyman,3552031,,Township,Propane,0,0,0,0,0
Neebing,3558001,,Municipality,Compressed Natural Gas,0,0,0,0,0
Neebing,3558001,,Municipality,Diesel,194,185,187,186,182
Neebing,3558001,,Municipality,Electric,0,0,0,0,0
Neebing,3558001,,Municipality,Gas,1938,1985,1934,1956,1973
Neebing,3558001,,Municipality,Plugin Hybrid,0,0,0,0,0
Neebing,3558001,,Municipality,Propane,0,0,0,0,0
New Tecumseth,3543007,,Town,Compressed Natural Gas,0,0,1,1,1
New Tecumseth,3543007,,Town,Diesel,2565,2511,2603,2683,2697
New Tecumseth,3543007,,Town,Electric,6,21,35,49,78
New Tecumseth,3543007,,Town,Gas,29343,31459,32980,33980,35037
New Tecumseth,3543007,,Town,Plugin Hybrid,10,22,45,50,52
New Tecumseth,3543007,,Town,Propane,2,1,1,1,0
Newbury,3539002,,Village,Compressed Natural Gas,0,0,0,0,0
Newbury,3539002,,Village,Diesel,86,86,89,84,83
Newbury,3539002,,Village,Electric,0,0,1,1,1
Newbury,3539002,,Village,Gas,795,809,814,829,822
Newbury,3539002,,Village,Plugin Hybrid,0,0,0,0,0
Newbury,3539002,,Village,Propane,1,1,1,0,0
Newmarket,3519048,,Town,Compressed Natural Gas,1,1,2,3,3
Newmarket,3519048,,Town,Diesel,2623,2398,2360,2376,2447
Newmarket,3519048,,Town,Electric,46,72,162,219,294
Newmarket,3519048,,Town,Gas,58660,58695,59612,60792,61147
Newmarket,3519048,,Town,Plugin Hybrid,46,65,147,166,174
Newmarket,3519048,,Town,Propane,1,1,2,1,1
Niagara,,3526,Census Division,Compressed Natural Gas,20,18,31,36,19
Niagara,,3526,Census Division,Diesel,14167,14057,14395,14844,15279
Niagara,,3526,Census Division,Electric,118,201,408,583,805
Niagara,,3526,Census Division,Gas,327789,336662,343253,350125,358635
Niagara,,3526,Census Division,Plugin Hybrid,199,299,532,591,605
Niagara,,3526,Census Division,Propane,34,36,29,26,24
Niagara Falls,3526043,,City,Compressed Natural Gas,4,2,4,3,3
Niagara Falls,3526043,,City,Diesel,2208,2218,2276,2301,2315
Niagara Falls,3526043,,City,Electric,15,22,48,75,107
Niagara Falls,3526043,,City,Gas,59769,61691,63588,65212,66980
Niagara Falls,3526043,,City,Plugin Hybrid,18,33,53,68,71
Niagara Falls,3526043,,City,Propane,5,5,5,3,3
Niagara-on-the-Lake,3526047,,Town,Compressed Natural Gas,1,2,2,2,1
Niagara-on-the-Lake,3526047,,Town,Diesel,981,968,966,979,994
Niagara-on-the-Lake,3526047,,Town,Electric,18,19,38,51,72
Niagara-on-the-Lake,3526047,,Town,Gas,15322,15744,16010,16111,16372
Niagara-on-the-Lake,3526047,,Town,Plugin Hybrid,17,20,41,47,50
Niagara-on-the-Lake,3526047,,Town,Propane,3,3,3,1,1
Nipigon,3558044,,Township,Compressed Natural Gas,0,0,0,0,0
Nipigon,3558044,,Township,Diesel,195,184,177,166,171
Nipigon,3558044,,Township,Electric,0,0,0,0,0
Nipigon,3558044,,Township,Gas,1580,1553,1551,1548,1581
Nipigon,3558044,,Township,Plugin Hybrid,0,0,0,0,0
Nipigon,3558044,,Township,Propane,0,0,0,0,0
Nipissing,3549071,,Township,Compressed Natural Gas,0,0,0,0,0
Nipissing,3549071,,Township,Diesel,49,58,68,68,57
Nipissing,3549071,,Township,Electric,0,0,0,0,0
Nipissing,3549071,,Township,Gas,795,799,812,829,849
Nipissing,3549071,,Township,Plugin Hybrid,0,0,0,0,0
Nipissing,3549071,,Township,Propane,0,0,0,0,0
Norfolk County,3528052,,City,Compressed Natural Gas,8,9,7,9,10
Norfolk County,3528052,,City,Diesel,4286,4197,4366,4588,4726
Norfolk County,3528052,,City,Electric,5,8,27,45,66
Norfolk County,3528052,,City,Gas,58158,60007,61326,62389,63749
Norfolk County,3528052,,City,Plugin Hybrid,9,20,46,48,53
Norfolk County,3528052,,City,Propane,12,9,11,13,13
North Algona Wilberforce,3547070,,Township,Compressed Natural Gas,0,0,0,0,0
North Algona Wilberforce,3547070,,Township,Diesel,79,73,82,84,93
North Algona Wilberforce,3547070,,Township,Electric,0,0,0,0,0
North Algona Wilberforce,3547070,,Township,Gas,1297,1296,1305,1314,1363
North Algona Wilberforce,3547070,,Township,Plugin Hybrid,0,0,1,2,2
